2m,asc,Tiburón,https://www.youtube.com/watch?v=hNrwSDwHc54,YES
2m,asc,Pink Panther,https://www.youtube.com/watch?v=niA3u5-GF9I,NO
2m,asc,Isnt't she lovely (Steve Wonder),https://www.youtube.com/watch?v=IVvkjuEAwgU,NO
2m,des,Para Elise (Beethoven),https://www.youtube.com/watch?v=3cvmONlV5WU,YES
2m,des,Joy to world (Villancico),https://www.youtube.com/watch?v=30OaM6b48k8,NO
2m,des,Stella by starlight (Jazz standard),https://www.youtube.com/watch?v=xDQ-Erg3KlQ,NO
2M,asc,Cumpleaños feliz,https://www.youtube.com/watch?v=tznBgIGSi98,YES
2M,asc,Rudolph the red-nosed reindeer,https://www.youtube.com/watch?v=1FuF7H0uJww,NO
2M,asc,Silent night (Villancico),https://www.youtube.com/watch?v=nEH7_2c644Q,NO
2M,asc,Frere Jacques,https://www.youtube.com/watch?v=BC6rvbxdywg,NO
2M,asc,"Non, je ne regrette rien (Edith Piaf)",https://www.youtube.com/watch?v=Q3Kvu6Kgp88,NO
2M,asc,"El cascanueces - Marche (Tchaikosky)",,NO
2M,des,Yesterday (The Beatles),https://www.youtube.com/watch?v=NrgmdOz227I,NO
2M,des,Mary had a little lamb,https://www.youtube.com/watch?v=aTrtKikAW6E,NO
2M,des,Freddie freeloader (Miles Davis),https://www.youtube.com/watch?v=RPfFhfSuUZ4,NO
2M,des,Suicide is painless (M.A.S.H. Theme),https://www.youtube.com/watch?v=4gO7uemm6Yo,NO
2M,des,NBC News (theme),,NO
3m,asc,Canción de cuna de Brahms,https://www.youtube.com/watch?v=51gjA-FerfE,NO
3m,asc,Greens leaves,https://www.youtube.com/watch?v=GS4xZYpjRas,NO
3m,asc,Smoke on the water (Deep Purple),https://www.youtube.com/watch?v=ikGyZh0VbPQ,YES
3m,asc,Georgia on my mind (Ray Charles),https://www.youtube.com/watch?v=QL3EZwSJAh0,NO
3m,asc,Spiderman (Cartoon theme),https://www.youtube.com/watch?v=SUtziaZlDeE,NO
